juntar(9436, 3089);
juntar(1391, 8872);
juntar(7491, 3196);
juntar(3157, 8467);
juntar(9367, 9379);
juntar(8442, 6305);
juntar(7261, 3381);
juntar(3397, 5295);
juntar(2434, 8440);
juntar(2150, 1572);
juntar(817, 7632);
juntar(2150, 6640);
juntar(6064, 3367);
juntar(869, 9116);
juntar(598, 4834);
juntar(8456, 624);
juntar(9568, 1702);
juntar(82, 2095);
juntar(5036, 8646);
juntar(9864, 9965);
juntar(4130, 8021);
juntar(5508, 6586);
juntar(5458, 7377);
juntar(9105, 5543);
juntar(2620, 4396);
juntar(4878, 497);
juntar(2348, 4315);
juntar(9084, 5703);
juntar(7436, 3924);
juntar(798, 7377);
juntar(1477, 1837);
juntar(4815, 7749);
juntar(3167, 6873);
juntar(9547, 7819);
juntar(2907, 5119);
juntar(3441, 561);
juntar(3318, 1531);
juntar(3215, 3667);
juntar(8373, 3760);
juntar(5958, 9796);
juntar(2855, 4315);
juntar(5056, 2692);
juntar(5063, 2144);
juntar(6789, 9608);
juntar(838, 6219);
juntar(440, 3961);
juntar(6287, 1865);
juntar(9835, 7334);
juntar(9886, 5163);
juntar(8283, 6581);
juntar(2055, 2028);
juntar(2136, 89);
juntar(1742, 6329);
juntar(348, 7013);
juntar(5070, 5750);
juntar(8777, 4730);
juntar(694, 5033);
juntar(8287, 2657);
juntar(138, 3678);
juntar(5163, 5107);
juntar(9107, 9225);
juntar(816, 1897);
juntar(7513, 7853);
juntar(5315, 3076);
juntar(1822, 1162);
juntar(5902, 3306);
juntar(3168, 1731);
juntar(7296, 2196);
juntar(8691, 357);
juntar(5349, 9202);
juntar(1525, 4680);
juntar(9419, 5571);
juntar(6989, 2343);
juntar(1655, 1262);
juntar(8624, 1788);
juntar(3360, 1774);
juntar(7976, 336);
juntar(9537, 8365);
juntar(6257, 2280);
juntar(2810, 5296);
juntar(4357, 9379);
juntar(6997, 9388);
juntar(76, 2389);
juntar(8801, 479);
juntar(7902, 5008);
juntar(3316, 6131);
juntar(7165, 982);
juntar(5340, 362);
juntar(8988, 1042);
juntar(3859, 4073);
juntar(1105, 8766);
juntar(1476, 4391);
juntar(2303, 3545);
juntar(4065, 1154);
juntar(5026, 4399);
juntar(8444, 1450);
juntar(5501, 539);
juntar(7525, 7275);
juntar(5658, 3330);
juntar(3012, 7132);
juntar(32, 9541);
juntar(5509, 9720);
juntar(3895, 7671);
juntar(661, 6728);
juntar(5925, 7486);
juntar(7833, 2186);
juntar(9860, 7939);
juntar(4741, 7849);
juntar(4785, 114);
juntar(7456, 7616);
juntar(3009, 9982);
juntar(225, 9151);
juntar(7741, 388);
juntar(3683, 7541);
juntar(256, 2907);
juntar(3201, 4086);
juntar(7624, 8014);
juntar(1347, 3118);
juntar(7636, 6330);
juntar(9730, 1147);
juntar(7124, 4632);
juntar(5879, 5552);
juntar(3517, 7779);
juntar(208, 4532);
juntar(7183, 1748);
juntar(6621, 6122);
juntar(3867, 3550);
juntar(7859, 1685);
juntar(2382, 983);
juntar(3283, 8475);
juntar(2576, 8862);
juntar(2497, 6654);
juntar(2583, 8700);
juntar(2915, 8406);
juntar(2357, 5603);
juntar(3189, 719);
juntar(2585, 9590);
juntar(7291, 8813);
juntar(4216, 8514);
juntar(5941, 4215);
juntar(4037, 6272);
juntar(3069, 18);
juntar(6010, 3113);
juntar(5063, 6028);
juntar(6395, 4499);
juntar(9631, 8153);
juntar(3102, 1188);
juntar(9324, 9672);
juntar(6146, 6018);
juntar(1963, 6807);
juntar(6608, 2174);
juntar(6536, 7426);
juntar(6086, 3673);
juntar(8481, 9628);
juntar(7260, 1240);
juntar(2706, 6456);
juntar(8895, 5802);
juntar(6166, 4077);
juntar(5385, 7403);
juntar(4384, 3365);
juntar(1764, 9523);
juntar(7905, 9023);
juntar(0, 7488);
juntar(5339, 6140);
juntar(1347, 4951);
juntar(9410, 1384);
juntar(2551, 4258);
juntar(1193, 4909);
juntar(779, 4943);
juntar(5610, 9503);
juntar(3282, 9533);
juntar(8162, 5484);
juntar(3026, 7421);
juntar(8883, 3455);
juntar(756, 5613);
juntar(4509, 2107);
juntar(7331, 9855);
juntar(4027, 4983);
juntar(7531, 837);
juntar(5871, 8368);
juntar(7997, 7972);
juntar(7342, 2251);
juntar(7499, 7586);
juntar(8067, 7729);
juntar(7281, 3261);
juntar(9708, 7123);
juntar(2896, 3558);
juntar(3546, 7600);
juntar(6646, 6349);
juntar(6048, 5150);
juntar(1489, 9632);
juntar(81, 3407);
juntar(3140, 5806);
juntar(6046, 963);
juntar(6954, 143);
juntar(2863, 1616);
juntar(147, 4469);
juntar(3518, 4276);
juntar(7943, 3889);
juntar(3615, 3137);
juntar(4274, 7839);
juntar(4310, 4183);
juntar(3858, 6682);
juntar(2866, 1060);
juntar(2635, 1621);
juntar(5101, 1951);
juntar(7834, 8782);
juntar(4014, 9181);
juntar(7284, 7996);
juntar(8010, 5003);
juntar(9936, 3012);
juntar(312, 240);
juntar(6062, 2668);
juntar(8371, 7285);
juntar(6087, 1888);
juntar(8411, 5341);
juntar(1599, 7281);
juntar(5574, 3713);
juntar(725, 4587);
juntar(4589, 8476);
juntar(2759, 4260);
juntar(9344, 8897);
juntar(3710, 7055);
juntar(2305, 2621);
juntar(5251, 3655);
juntar(6347, 2834);
juntar(4463, 1102);
juntar(2203, 6328);
juntar(690, 4055);
juntar(4509, 8768);
juntar(8883, 780);
juntar(8207, 2274);
juntar(5853, 2140);
juntar(4915, 914);
juntar(7013, 6877);
juntar(5832, 1703);
juntar(6394, 7948);
juntar(3691, 2231);
juntar(1984, 2847);
juntar(1353, 1219);
juntar(1769, 5421);
juntar(8740, 4958);
juntar(3244, 7992);
juntar(2955, 850);
juntar(636, 304);
juntar(8718, 9086);
juntar(9564, 6220);
juntar(7499, 4861);
juntar(8481, 9964);
juntar(4127, 6485);
juntar(9851, 1192);
juntar(9049, 9234);
juntar(1740, 2204);
juntar(2923, 857);
juntar(2262, 1195);
juntar(7770, 2277);
juntar(5152, 2637);
juntar(5502, 6228);
juntar(4622, 9538);
juntar(356, 7296);
juntar(1628, 2695);
juntar(6461, 9173);
juntar(1675, 8812);
juntar(5594, 8790);
juntar(6378, 2841);
juntar(3014, 2454);
juntar(7148, 9822);
juntar(1222, 6092);
juntar(9548, 8053);
juntar(2441, 290);
juntar(1163, 8518);
juntar(696, 930);
juntar(4146, 5151);
juntar(3457, 7929);
juntar(5982, 6738);
juntar(1004, 7820);
juntar(8494, 4044);
juntar(8886, 740);
juntar(5607, 5095);
juntar(5169, 8772);
juntar(4977, 7456);
juntar(9513, 506);
juntar(7241, 8812);
juntar(5551, 6223);
juntar(9336, 6205);
juntar(1512, 9116);
juntar(5109, 9844);
juntar(6612, 661);
juntar(7274, 9617);
juntar(2314, 2356);
juntar(9656, 1090);
juntar(8248, 1881);
juntar(7626, 3122);
juntar(2322, 8987);
juntar(7633, 1026);
juntar(3340, 5316);
juntar(3853, 7629);
juntar(2325, 2817);
juntar(1062, 9579);
juntar(5642, 7386);
juntar(8114, 7725);
juntar(9027, 7947);
juntar(5604, 8556);
juntar(6660, 6321);
juntar(4682, 8290);
juntar(3546, 9896);
juntar(1337, 2455);
juntar(2625, 7390);
juntar(1953, 1582);
juntar(283, 7800);
juntar(1437, 7968);
juntar(5224, 3994);
juntar(4810, 9376);
juntar(6037, 5381);
juntar(6789, 3019);
juntar(2198, 8551);
juntar(1601, 7209);
juntar(1750, 872);
juntar(7022, 8623);
juntar(6449, 9643);
juntar(2487, 328);
juntar(1763, 8607);
juntar(982, 9419);
juntar(4799, 4347);
juntar(8415, 3381);
juntar(7971, 7460);
juntar(2150, 1180);
juntar(6, 7206);
juntar(2485, 8447);
juntar(8755, 3839);
juntar(7011, 6122);
juntar(2206, 9786);
juntar(7948, 8456);
juntar(5072, 9415);
juntar(6884, 9334);
juntar(8379, 7264);
juntar(9616, 5589);
juntar(8595, 6299);
juntar(6222, 2153);
juntar(1004, 987);
juntar(7930, 6704);
juntar(9278, 4850);
juntar(2880, 797);
juntar(9500, 8452);
juntar(7438, 381);
juntar(2225, 1814);
juntar(8379, 1082);
juntar(629, 4654);
juntar(3957, 2644);
juntar(6259, 8991);
juntar(8647, 2544);
juntar(6447, 1239);
juntar(7162, 931);
juntar(9065, 5113);
juntar(8271, 7776);
juntar(979, 2422);
juntar(7865, 8389);
juntar(6286, 6154);
juntar(3752, 5320);
juntar(9217, 9098);
juntar(1750, 3055);
juntar(4465, 1737);
juntar(3771, 6907);
juntar(4595, 5101);
juntar(3804, 9001);
juntar(210, 7858);
juntar(6982, 2398);
juntar(3566, 2059);
juntar(218, 9010);
juntar(466, 8602);
juntar(334, 8215);
juntar(8413, 1783);
juntar(7008, 850);
juntar(1269, 2068);
juntar(3433, 7601);
juntar(1926, 7640);
juntar(7119, 1729);
juntar(4888, 8178);
juntar(6946, 3532);
juntar(86, 8852);
juntar(258, 7983);
juntar(7703, 8575);
juntar(5561, 7577);
juntar(1379, 4169);
juntar(2233, 9577);
juntar(3737, 1311);
juntar(8513, 564);
juntar(3878, 3862);
juntar(3039, 1500);
juntar(1199, 5504);
juntar(3170, 3333);
juntar(3720, 1478);
juntar(5452, 6598);
juntar(1932, 3676);
juntar(9703, 8429);
juntar(1126, 9305);
juntar(8400, 6941);
juntar(6150, 1957);
juntar(7341, 6030);
juntar(2572, 3989);
juntar(1852, 3283);
juntar(7346, 857);
juntar(5220, 9951);
juntar(273, 1258);
juntar(2498, 4677);
juntar(4742, 1791);
juntar(3322, 2030);
juntar(2583, 1179);
juntar(1968, 2839);
juntar(3183, 7069);
juntar(1540, 5720);
juntar(1472, 7918);
juntar(1848, 8305);
juntar(2849, 3526);
juntar(7343, 2209);
juntar(5690, 426);
juntar(2262, 7969);
juntar(3659, 2506);
juntar(5078, 4896);
juntar(761, 3014);
juntar(3260, 6065);
juntar(1764, 1385);
juntar(2394, 519);
juntar(9450, 7244);
juntar(786, 3160);
juntar(8009, 4326);
juntar(1811, 7786);
juntar(8806, 9105);
juntar(1476, 247);
juntar(735, 2471);
juntar(7937, 6811);
juntar(2449, 7894);
juntar(3040, 7474);
juntar(7821, 6261);
juntar(3337, 5170);
juntar(9213, 5764);
juntar(9501, 9620);
juntar(5333, 5072);
juntar(8569, 8921);
juntar(1774, 9380);
juntar(3026, 2853);
juntar(2679, 1873);
juntar(4387, 9383);
juntar(1418, 7632);
juntar(6631, 9862);
juntar(6633, 3101);
juntar(6627, 9007);
juntar(7556, 1832);
juntar(4498, 2927);
juntar(9134, 6432);
juntar(6777, 2162);
juntar(3139, 7374);
juntar(9173, 6995);
juntar(6219, 1671);
juntar(3742, 9144);
juntar(9590, 8265);
juntar(7403, 7335);
juntar(7993, 2429);
juntar(4810, 4246);
juntar(7402, 8501);
juntar(8860, 8839);
juntar(2007, 8799);
juntar(6333, 1184);
juntar(1017, 6723);
juntar(4525, 6548);
juntar(4930, 3725);
juntar(7118, 1735);
juntar(9136, 3086);
juntar(3970, 9460);
juntar(9895, 8245);
juntar(52, 5864);
juntar(4080, 9812);
juntar(3319, 2203);
juntar(9412, 3329);
juntar(9955, 4206);
juntar(6341, 9352);
juntar(8127, 1636);
juntar(6218, 8481);
juntar(8172, 6180);
juntar(2953, 6607);
juntar(7940, 7947);
juntar(6953, 9815);
juntar(6928, 9590);
juntar(822, 4157);
juntar(1805, 2327);
juntar(6043, 2799);
juntar(8918, 13);
juntar(8636, 1945);
juntar(6468, 5782);
juntar(9681, 7361);
juntar(184, 800);
juntar(3499, 5348);
juntar(1532, 6153);
juntar(2269, 5545);
juntar(6747, 7017);
juntar(919, 8103);
juntar(8331, 2924);
juntar(231, 4432);
juntar(8031, 9127);
juntar(9280, 9006);
juntar(1775, 1878);
juntar(554, 9491);
juntar(2569, 4764);
juntar(2426, 3857);
juntar(6921, 4170);
juntar(3957, 6089);
juntar(4010, 9383);
juntar(6510, 6572);
juntar(4536, 6906);
juntar(5062, 9332);
juntar(7922, 9142);
juntar(9713, 5924);
juntar(2403, 4767);
juntar(4458, 4936);
juntar(2414, 1808);
juntar(5990, 6854);
juntar(1633, 4782);
juntar(28, 6331);
juntar(8078, 4021);
juntar(6457, 7786);
juntar(9728, 8793);
juntar(7437, 5691);
juntar(5250, 5736);
juntar(4565, 7918);
juntar(4679, 700);
juntar(2147, 9078);
juntar(9112, 5162);
juntar(3693, 898);
juntar(6827, 8048);
juntar(7866, 8401);
juntar(5641, 14);
juntar(8279, 3865);
juntar(7761, 24);
juntar(8779, 5394);
juntar(3898, 3401);
juntar(2141, 3278);
juntar(8014, 6447);
juntar(5483, 5282);
juntar(2685, 5181);
juntar(106, 1485);
juntar(7803, 4806);
juntar(6976, 367);
juntar(2065, 2078);
juntar(1590, 480);
juntar(7578, 4926);
juntar(3603, 6194);
juntar(2751, 2408);
juntar(7250, 1795);
juntar(7638, 3327);
juntar(8333, 5517);
juntar(8890, 3725);
juntar(2359, 3953);
juntar(8571, 1853);
juntar(6252, 7748);
juntar(2221, 4191);
juntar(3012, 1466);
juntar(6768, 7631);
juntar(4653, 4093);
juntar(8141, 1022);
juntar(3825, 1775);
juntar(1789, 3945);
juntar(8616, 1052);
juntar(6677, 1802);
juntar(8229, 9125);
juntar(4815, 4077);
juntar(9436, 7509);
juntar(3862, 6998);
juntar(5024, 6778);
juntar(9956, 2701);
juntar(5819, 3076);
juntar(1540, 4501);
juntar(7288, 1545);
juntar(2678, 1894);
juntar(188, 7907);
juntar(6102, 9498);
juntar(2320, 7052);
juntar(2092, 1331);
juntar(5017, 6667);
juntar(9146, 5508);
juntar(3701, 4713);
juntar(6378, 4744);
juntar(6551, 1855);
juntar(5597, 4902);
juntar(9147, 3830);
juntar(3087, 7203);
juntar(5808, 4181);
juntar(7268, 9721);
juntar(258, 4787);
juntar(8598, 297);
juntar(9248, 178);
juntar(2387, 6110);
juntar(2817, 1763);
juntar(3464, 4791);
juntar(3971, 9762);
juntar(4091, 8207);
juntar(8749, 3930);
juntar(2926, 2809);
juntar(4859, 8922);
juntar(3390, 9777);
juntar(3402, 6566);
juntar(4339, 4137);
juntar(3517, 5241);
juntar(4623, 4443);
juntar(4251, 6032);
juntar(5779, 3706);
juntar(1407, 6446);
juntar(3905, 7808);
juntar(9687, 5061);
juntar(2576, 9814);
juntar(2066, 4675);
juntar(3559, 7310);
juntar(8995, 7307);
juntar(1039, 5185);
juntar(9768, 1659);
juntar(8079, 8112);
juntar(7188, 2589);
juntar(1137, 5402);
juntar(4542, 2521);
juntar(9583, 5858);
juntar(793, 6785);
juntar(2372, 1814);
juntar(5903, 8376);
juntar(3307, 9615);
juntar(3249, 2816);
juntar(9632, 8468);
juntar(191, 435);
juntar(6120, 815);
juntar(1040, 1673);
juntar(8249, 5144);
juntar(8907, 812);
juntar(3580, 6527);
juntar(4197, 4916);
juntar(54, 1060);
juntar(7911, 7710);
juntar(3535, 7864);
juntar(7292, 2611);
juntar(4656, 6326);
juntar(9883, 5213);
juntar(6780, 6869);
juntar(9582, 3136);
juntar(2722, 700);
juntar(4915, 345);
juntar(7772, 7672);
juntar(5402, 3802);
juntar(509, 1738);
juntar(6631, 2617);
juntar(918, 261);
juntar(8474, 3747);
juntar(7407, 6891);
juntar(3704, 3745);
juntar(441, 7678);
juntar(6235, 3029);
juntar(753, 6623);
juntar(9162, 7741);
juntar(4323, 9960);
juntar(2840, 4379);
juntar(4664, 8132);
juntar(2364, 4060);
juntar(5352, 643);
juntar(1954, 6553);
juntar(2166, 1726);
juntar(1026, 9015);
juntar(4763, 4161);
juntar(2985, 731);
juntar(2352, 4437);
juntar(3184, 3145);
juntar(6490, 4947);
juntar(6870, 3899);
juntar(6851, 7945);
juntar(1470, 4733);
juntar(2532, 1560);
juntar(67, 5676);
juntar(2350, 364);
juntar(4594, 2168);
juntar(2443, 1662);
juntar(7868, 7514);
juntar(8430, 3992);
juntar(3405, 352);
juntar(2460, 6164);
juntar(681, 5734);
juntar(2477, 3554);
juntar(1422, 8839);
juntar(2262, 3360);
juntar(9401, 2321);
juntar(5927, 2055);
juntar(2206, 1910);
juntar(9885, 6368);
juntar(8512, 9945);
juntar(8593, 3771);
juntar(8473, 3273);
juntar(7783, 9700);
juntar(8051, 143);
juntar(348, 6475);
juntar(316, 586);
juntar(5563, 3285);
juntar(8061, 6107);
juntar(1905, 7459);
juntar(2426, 7495);
juntar(7381, 4758);
juntar(1671, 4023);
juntar(8963, 423);
juntar(2690, 3391);
juntar(4524, 3338);
juntar(5440, 9411);
juntar(6469, 2800);
juntar(7055, 3568);
juntar(6174, 1123);
juntar(8084, 7412);
juntar(2270, 5592);
juntar(8040, 4990);
juntar(3872, 105);
juntar(1237, 8452);
juntar(1882, 281);
juntar(6766, 5356);
juntar(7675, 5747);
juntar(8361, 3255);
juntar(8669, 9892);
juntar(914, 5657);
juntar(4536, 423);
juntar(451, 3622);
juntar(6169, 3771);
juntar(3458, 8923);
juntar(1887, 2555);
juntar(9664, 7948);
juntar(1822, 8156);
juntar(9592, 361);
juntar(1960, 9755);
juntar(4499, 2892);
juntar(3875, 7105);
juntar(1702, 6563);
juntar(4838, 6809);
juntar(2669, 5183);
juntar(5707, 854);
juntar(4795, 3995);
juntar(741, 1805);
juntar(292, 9968);
juntar(4338, 1176);
juntar(7240, 9459);
juntar(4573, 6238);
juntar(8542, 4677);
juntar(2377, 5809);
juntar(4227, 7720);
juntar(8212, 7403);
juntar(1380, 9837);
juntar(5170, 6529);
juntar(3809, 3987);
juntar(8580, 3913);
juntar(507, 780);
juntar(7404, 7928);
juntar(7926, 1461);
juntar(1971, 7635);
juntar(6171, 6695);
juntar(5925, 6476);
juntar(3278, 6633);
juntar(7670, 7894);
juntar(4962, 5968);
juntar(8026, 1937);
juntar(9441, 7521);
juntar(6354, 6242);
juntar(8218, 9252);
juntar(6967, 5704);
juntar(4108, 2562);
juntar(1294, 2625);
juntar(7187, 4219);
juntar(8981, 3127);
juntar(7829, 334);
juntar(2855, 6268);
juntar(3574, 8428);
juntar(8529, 9402);
juntar(3140, 2812);
juntar(9313, 7088);
juntar(6602, 9271);
juntar(1048, 1100);
juntar(5470, 7354);
juntar(9489, 5972);
juntar(223, 2425);
juntar(4973, 7889);
juntar(5689, 5114);
juntar(5208, 4722);
juntar(6611, 2765);
juntar(7268, 1536);
juntar(6705, 6068);
juntar(4102, 8998);
juntar(4575, 4185);
juntar(9240, 1753);
juntar(8970, 3359);
juntar(5740, 87);
juntar(4011, 7265);
juntar(1879, 953);
juntar(2293, 2151);
juntar(6627, 3794);
juntar(40, 6232);
juntar(2500, 2497);
juntar(3839, 687);
juntar(2047, 7301);
juntar(2963, 9168);
juntar(6927, 9486);
juntar(4689, 3749);
juntar(5283, 7299);
juntar(2657, 7894);
juntar(3991, 3693);
juntar(9857, 1212);
juntar(7200, 5221);
juntar(8551, 6494);
juntar(1587, 6670);
juntar(9139, 6892);
juntar(1722, 7886);
juntar(8814, 9910);
juntar(6060, 7643);
juntar(8671, 5379);
juntar(5188, 4391);
juntar(4893, 6557);
juntar(9171, 5227);
juntar(5600, 7050);
juntar(117, 2556);
juntar(19, 1415);
juntar(9398, 2552);
juntar(718, 3959);
juntar(6364, 746);
juntar(2835, 8519);
juntar(6838, 7868);
juntar(6479, 1808);
juntar(5203, 3399);
juntar(9756, 4318);
juntar(3463, 5198);
juntar(249, 5669);
juntar(4322, 1067);
juntar(2211, 5830);
juntar(2989, 2099);
juntar(5192, 9686);
juntar(4252, 8304);
juntar(7397, 51);
juntar(7111, 4125);
juntar(3671, 3426);
juntar(9230, 5206);
juntar(3669, 3550);
juntar(7371, 8033);
juntar(539, 86);
juntar(8007, 937);
juntar(4203, 3709);
juntar(4409, 8331);
juntar(6213, 4245);
juntar(2606, 56);
juntar(5075, 5548);
juntar(8862, 4212);
juntar(1908, 9370);
juntar(5548, 4964);
juntar(6374, 571);
juntar(655, 6470);
juntar(1912, 7751);
juntar(8534, 291);
juntar(7485, 6596);
juntar(5964, 6439);
juntar(292, 8077);
juntar(8114, 7546);
juntar(187, 9999);
juntar(3585, 1561);
juntar(1912, 8340);
juntar(6331, 852);
juntar(5682, 4329);
juntar(4984, 4614);
juntar(131, 4266);
juntar(6862, 7079);
juntar(4195, 1727);
juntar(4779, 6205);
juntar(6095, 5965);
juntar(9656, 6202);
juntar(8289, 6105);
juntar(910, 2578);
juntar(6969, 7998);
juntar(9578, 201);
juntar(3499, 9528);
juntar(6261, 3308);
juntar(3024, 556);
juntar(7069, 1328);
juntar(2453, 5736);
juntar(5986, 5968);
juntar(5937, 1946);
juntar(1329, 3052);
juntar(1086, 7267);
juntar(7298, 7312);
juntar(3208, 5075);
juntar(9029, 9511);
juntar(8093, 5107);
juntar(983, 3077);
juntar(6054, 3139);
juntar(4062, 1791);
juntar(1249, 2333);
juntar(6388, 938);
juntar(688, 2199);
juntar(6340, 1844);
juntar(6727, 5675);
juntar(4156, 3724);
juntar(5345, 843);
juntar(147, 7377);
juntar(61, 1458);
juntar(3445, 2431);
juntar(7947, 9641);
juntar(5047, 3520);
juntar(9861, 4856);
juntar(2911, 1128);
juntar(1788, 5568);
juntar(4869, 9603);
juntar(7936, 3915);
juntar(7188, 8314);
juntar(9129, 9104);
juntar(2766, 1862);
juntar(1951, 2285);
juntar(3155, 1795);
juntar(5070, 4210);
juntar(2860, 5385);
juntar(9244, 7101);
juntar(2711, 6658);
juntar(6596, 3859);
juntar(1474, 1126);
juntar(2941, 972);
juntar(1347, 8409);
juntar(4173, 6332);
juntar(3479, 6314);
juntar(4010, 9505);
juntar(4257, 5844);
juntar(5785, 9969);
juntar(1730, 9054);
juntar(5364, 8329);
juntar(4244, 730);
juntar(5775, 6569);
juntar(139, 468);
juntar(6676, 6050);
juntar(8190, 3850);
juntar(3403, 6137);
juntar(3352, 181);
juntar(1013, 2087);
juntar(1339, 9506);
juntar(8472, 8170);
juntar(8577, 3472);
juntar(6935, 832);
juntar(1154, 3031);
juntar(3932, 7186);
juntar(7534, 915);
juntar(2191, 6091);
juntar(5001, 8386);
juntar(7823, 2673);
juntar(9068, 3827);
juntar(7637, 2228);
juntar(8431, 5418);
juntar(9458, 6178);
juntar(5408, 1353);
juntar(2521, 983);
juntar(3301, 8842);
juntar(7211, 711);
juntar(7591, 7487);
juntar(4758, 5392);
juntar(7500, 3519);
juntar(7816, 165);
juntar(8057, 8875);
juntar(2332, 4763);
juntar(543, 3104);
juntar(9530, 8954);
juntar(928, 6701);
juntar(4453, 7142);
juntar(1779, 1628);
juntar(4067, 4562);
juntar(2964, 8485);
juntar(3615, 8237);
juntar(482, 95);
juntar(4682, 8182);
juntar(723, 8111);
juntar(2167, 8214);
juntar(9574, 2646);
juntar(276, 1171);
juntar(1915, 4910);
juntar(9549, 343);
juntar(7245, 9382);
juntar(7913, 7486);
juntar(1475, 5106);
juntar(8819, 7910);
juntar(3220, 5401);
juntar(8633, 4820);
juntar(5343, 1461);
juntar(3595, 8364);
juntar(8940, 8126);
juntar(3944, 9613);
juntar(7482, 9432);
juntar(9061, 6127);
juntar(3410, 7489);
juntar(2872, 3650);
juntar(8117, 651);
juntar(3161, 8023);
juntar(8965, 6049);
juntar(1947, 2432);
juntar(3728, 7069);
juntar(6604, 7766);
juntar(3730, 8608);
juntar(3029, 8020);
juntar(1780, 1566);
juntar(2841, 8458);
juntar(10, 3400);
juntar(6324, 1542);
juntar(5718, 3355);
juntar(1613, 4529);
juntar(385, 9415);
juntar(8509, 3061);
juntar(8225, 9000);
juntar(2224, 7085);
juntar(5758, 6938);
juntar(8315, 9005);
juntar(3252, 2370);
juntar(5173, 9089);
juntar(2119, 874);
juntar(4478, 9845);
juntar(9827, 9344);
juntar(3263, 9336);
juntar(5276, 8914);
juntar(3423, 3219);
juntar(3154, 5588);
juntar(5831, 6655);
juntar(5327, 9130);
juntar(6572, 204);
juntar(1009, 8235);
juntar(2230, 8291);
juntar(5104, 4063);
juntar(9659, 4920);
juntar(5937, 4771);
juntar(3197, 8912);
juntar(9375, 873);
juntar(8929, 171);
juntar(6263, 4962);
juntar(1231, 9181);
juntar(4041, 9614);
juntar(1611, 4314);
juntar(1421, 4133);
juntar(3628, 5344);
juntar(7100, 4225);
juntar(543, 7053);
juntar(9610, 8628);
juntar(4292, 3780);
juntar(5623, 3288);
juntar(5331, 4350);
juntar(8288, 6757);
juntar(2970, 6945);
juntar(5514, 127);
juntar(4933, 5149);
juntar(505, 1072);
juntar(3021, 9681);
juntar(3298, 4326);
juntar(9038, 5117);
juntar(2590, 269);
juntar(1382, 7305);
juntar(1704, 9231);
juntar(8135, 5084);
juntar(1194, 1551);
juntar(6834, 9452);
juntar(3298, 2504);
juntar(4649, 4382);
juntar(201, 6772);
juntar(5222, 6089);
juntar(8922, 9308);
juntar(20, 1787);
juntar(510, 8172);
juntar(2753, 4675);
juntar(201, 175);
juntar(5127, 9249);
juntar(8206, 2037);
juntar(1005, 9887);
juntar(7873, 8158);
juntar(3918, 6103);
juntar(9114, 1091);
juntar(9779, 9870);
juntar(196, 2303);
juntar(2645, 3969);
juntar(251, 8952);
