juntar(1870, 2812);
juntar(9133, 6003);
juntar(2248, 2259);
juntar(5226, 7352);
juntar(5055, 7853);
juntar(9691, 7788);
juntar(1807, 2613);
juntar(8901, 3540);
juntar(7063, 1256);
juntar(2932, 8590);
juntar(3437, 7330);
juntar(1207, 959);
juntar(1620, 5720);
juntar(5851, 653);
juntar(131, 9186);
juntar(314, 1707);
juntar(372, 9280);
juntar(4470, 2302);
juntar(2677, 6227);
juntar(6407, 6324);
juntar(9428, 9375);
juntar(5441, 6947);
juntar(2039, 9711);
juntar(483, 7809);
juntar(9610, 8550);
juntar(2834, 182);
juntar(8423, 2041);
juntar(2730, 5174);
juntar(3080, 9382);
juntar(4507, 8453);
juntar(2046, 3768);
juntar(6130, 1226);
juntar(2650, 8979);
juntar(5002, 5287);
juntar(3172, 1294);
juntar(3486, 1847);
juntar(2546, 5896);
juntar(4352, 3532);
juntar(1431, 9348);
juntar(8499, 6456);
juntar(1916, 4831);
juntar(4730, 4609);
juntar(6970, 4857);
juntar(4088, 1911);
juntar(4889, 6938);
juntar(9350, 8246);
juntar(8480, 1298);
juntar(3601, 4562);
juntar(3454, 6131);
juntar(535, 8655);
juntar(5632, 5152);
juntar(3091, 7688);
juntar(1952, 4201);
juntar(6360, 5655);
juntar(5954, 8539);
juntar(5309, 4037);
juntar(4489, 124);
juntar(7793, 1695);
juntar(8705, 4650);
juntar(8592, 5706);
juntar(9024, 1398);
juntar(741, 8266);
juntar(775, 5081);
juntar(6303, 6078);
juntar(4457, 7761);
juntar(9924, 7674);
juntar(2143, 651);
juntar(4981, 1050);
juntar(9484, 149);
juntar(3972, 8651);
juntar(952, 9828);
juntar(1877, 9275);
juntar(4511, 234);
juntar(3689, 6784);
juntar(717, 1354);
juntar(5034, 3640);
juntar(426, 8405);
juntar(7866, 3231);
juntar(4724, 167);
juntar(1578, 8719);
juntar(504, 542);
juntar(3584, 7708);
juntar(5149, 8226);
juntar(2373, 1414);
juntar(4249, 6417);
juntar(397, 4221);
juntar(6933, 4348);
juntar(3721, 4518);
juntar(4449, 5105);
juntar(336, 518);
juntar(8970, 9643);
juntar(9262, 5428);
juntar(1237, 5232);
juntar(8119, 4741);
juntar(7620, 7658);
juntar(7733, 4728);
juntar(9457, 412);
juntar(8503, 5247);
juntar(112, 835);
juntar(4764, 1874);
juntar(8104, 2744);
juntar(186, 2088);
juntar(7856, 7375);
juntar(9361, 7704);
juntar(3150, 9701);
juntar(8168, 1114);
juntar(2218, 5114);
juntar(8250, 6005);
juntar(7525, 2271);
juntar(8987, 4178);
juntar(7789, 1518);
juntar(3734, 8856);
juntar(4553, 4697);
juntar(5748, 1427);
juntar(685, 1388);
juntar(3251, 2979);
juntar(3634, 8677);
juntar(2362, 4145);
juntar(1926, 6385);
juntar(1263, 6825);
juntar(9454, 7366);
juntar(8890, 9136);
juntar(8427, 2971);
juntar(6673, 615);
juntar(8511, 7033);
juntar(2437, 8109);
juntar(6637, 7875);
juntar(1409, 4073);
juntar(9256, 6728);
juntar(478, 8059);
juntar(6374, 2677);
juntar(8355, 9066);
juntar(4631, 8813);
juntar(6054, 1106);
juntar(4885, 1610);
juntar(9287, 6886);
juntar(8289, 5696);
juntar(6739, 4772);
juntar(3685, 9203);
juntar(5980, 2399);
juntar(8301, 637);
juntar(1799, 6183);
juntar(3188, 6832);
juntar(138, 9787);
juntar(4612, 2961);
juntar(4450, 6155);
juntar(2702, 9808);
juntar(342, 7101);
juntar(9069, 544);
juntar(8638, 1656);
juntar(5800, 9099);
juntar(6637, 9371);
juntar(9281, 4911);
juntar(2247, 7611);
juntar(3619, 4270);
juntar(5961, 2483);
juntar(111, 6808);
juntar(1151, 1533);
juntar(1126, 6768);
juntar(4059, 2550);
juntar(9100, 2594);
juntar(1033, 6947);
juntar(3882, 5138);
juntar(2048, 8016);
juntar(4590, 4299);
juntar(6367, 4101);
juntar(5357, 6267);
juntar(8303, 4208);
juntar(7851, 8718);
juntar(8495, 8915);
juntar(7315, 9278);
juntar(8826, 2565);
juntar(2999, 3370);
juntar(7203, 3676);
juntar(8335, 1152);
juntar(1756, 9277);
juntar(989, 9689);
juntar(2713, 5422);
juntar(7975, 5698);
juntar(4198, 548);
juntar(6474, 6294);
juntar(7504, 520);
juntar(6648, 9960);
juntar(2016, 4224);
juntar(8826, 7687);
juntar(9878, 6398);
juntar(3729, 4669);
juntar(5771, 3);
juntar(1090, 6237);
juntar(3683, 3916);
juntar(8942, 7843);
juntar(8463, 2954);
juntar(3186, 7788);
juntar(1108, 6339);
juntar(4562, 3131);
juntar(3230, 7574);
juntar(8124, 3768);
juntar(7963, 3414);
juntar(8469, 7003);
juntar(1687, 2118);
juntar(2536, 5116);
juntar(3364, 1499);
juntar(606, 1395);
juntar(6057, 5405);
juntar(5306, 5912);
juntar(8222, 3239);
juntar(7856, 901);
juntar(758, 853);
juntar(596, 7038);
juntar(9473, 2760);
juntar(4905, 6123);
juntar(1616, 4953);
juntar(4040, 2735);
juntar(9438, 4858);
juntar(1104, 7267);
juntar(3360, 9916);
juntar(3422, 5400);
juntar(2249, 9157);
juntar(5895, 4605);
juntar(8574, 2714);
juntar(7598, 6479);
juntar(1737, 2718);
juntar(7811, 4891);
juntar(3762, 5246);
juntar(9971, 3802);
juntar(7713, 7071);
juntar(4619, 5329);
juntar(686, 2860);
juntar(5301, 8223);
juntar(41, 8147);
juntar(4621, 9214);
juntar(3657, 937);
juntar(1137, 4903);
juntar(2423, 88);
juntar(1665, 9825);
juntar(5922, 1796);
juntar(7667, 7096);
juntar(318, 6413);
juntar(8903, 1691);
juntar(835, 6617);
juntar(2266, 2783);
juntar(9893, 4513);
juntar(8832, 814);
juntar(5951, 9625);
juntar(7541, 7019);
juntar(7434, 1953);
juntar(9657, 7963);
juntar(725, 4256);
juntar(4150, 5324);
juntar(1126, 5560);
juntar(522, 1637);
juntar(976, 3531);
juntar(2199, 5991);
juntar(9610, 6768);
juntar(638, 9798);
juntar(5773, 9373);
juntar(7492, 1645);
juntar(4243, 9200);
juntar(9856, 1976);
juntar(4920, 8074);
juntar(1430, 2914);
juntar(4469, 6971);
juntar(717, 5842);
juntar(7685, 1667);
juntar(5851, 9567);
juntar(8210, 4670);
juntar(4523, 4864);
juntar(5962, 7399);
juntar(6592, 6956);
juntar(1701, 2514);
juntar(6464, 6136);
juntar(7508, 58);
juntar(2066, 8126);
juntar(5674, 2651);
juntar(7348, 9983);
juntar(7429, 4362);
juntar(5649, 4449);
juntar(7315, 5069);
juntar(1959, 5446);
juntar(8578, 7144);
juntar(3152, 113);
juntar(9896, 4113);
juntar(6594, 8252);
juntar(4031, 1566);
juntar(9181, 8338);
juntar(4504, 9072);
juntar(822, 361);
juntar(7302, 8070);
juntar(8671, 9664);
juntar(784, 4812);
juntar(982, 2703);
juntar(8459, 9314);
juntar(2372, 5155);
juntar(6101, 941);
juntar(5486, 5194);
juntar(6810, 8808);
juntar(7591, 9884);
juntar(5036, 466);
juntar(4447, 648);
juntar(3325, 5475);
juntar(7973, 4540);
juntar(3644, 1446);
juntar(8679, 1667);
juntar(8445, 8865);
juntar(8605, 5510);
juntar(5370, 7583);
juntar(5610, 2133);
juntar(3459, 2262);
juntar(5243, 6299);
juntar(8043, 6255);
juntar(2141, 7384);
juntar(6106, 3385);
juntar(8939, 5617);
juntar(3872, 4959);
juntar(6990, 9684);
juntar(3556, 4932);
juntar(9868, 6);
juntar(6841, 9632);
juntar(7571, 8095);
juntar(8453, 9681);
juntar(6634, 1353);
juntar(4433, 840);
juntar(8929, 4337);
juntar(6171, 7384);
juntar(9853, 2131);
juntar(3085, 6307);
juntar(4792, 8751);
juntar(3949, 3172);
juntar(1299, 3729);
juntar(9296, 748);
juntar(3252, 2961);
juntar(5074, 9694);
juntar(2394, 5723);
juntar(795, 6510);
juntar(2147, 8340);
juntar(3766, 7740);
juntar(8349, 6433);
juntar(4696, 967);
juntar(1650, 1871);
juntar(8947, 2540);
juntar(6723, 7622);
juntar(2032, 9166);
juntar(4126, 3523);
juntar(7534, 5497);
juntar(1711, 8690);
juntar(610, 2696);
juntar(3791, 1726);
juntar(441, 3559);
juntar(7933, 8211);
juntar(573, 8253);
juntar(1208, 6053);
juntar(6945, 968);
juntar(17, 3164);
juntar(9605, 1873);
juntar(160, 8718);
juntar(5577, 610);
juntar(6777, 8714);
juntar(7182, 7329);
juntar(6942, 8979);
juntar(2210, 4687);
juntar(1258, 3890);
juntar(9785, 9645);
juntar(4616, 7054);
juntar(8503, 6951);
juntar(447, 1020);
juntar(1489, 7219);
juntar(7247, 6652);
juntar(6366, 1208);
juntar(934, 9255);
juntar(6845, 8524);
juntar(1690, 7720);
juntar(6606, 3334);
juntar(9324, 5061);
juntar(5463, 1869);
juntar(6939, 3505);
juntar(2431, 6527);
juntar(8665, 5008);
juntar(221, 9190);
juntar(3597, 8536);
juntar(963, 2009);
juntar(4711, 8719);
juntar(3494, 7359);
juntar(8490, 6630);
juntar(8421, 9926);
juntar(8283, 2323);
juntar(8347, 2967);
juntar(1982, 507);
juntar(7160, 7648);
juntar(2536, 5275);
juntar(4070, 9086);
juntar(8007, 7147);
juntar(5203, 5221);
juntar(6406, 5882);
juntar(8007, 4959);
juntar(9387, 5453);
juntar(1450, 176);
juntar(8038, 3397);
juntar(8059, 2111);
juntar(3441, 5355);
juntar(2216, 6432);
juntar(4480, 7018);
juntar(2798, 2853);
juntar(5453, 9933);
juntar(7268, 4523);
juntar(6426, 4667);
juntar(8595, 9659);
juntar(21, 4674);
juntar(6029, 2862);
juntar(9306, 6877);
juntar(5682, 6384);
juntar(2835, 460);
juntar(7097, 2285);
juntar(4511, 3650);
juntar(7558, 4804);
juntar(7917, 9383);
juntar(6764, 8590);
juntar(7035, 4638);
juntar(652, 2464);
juntar(7862, 5002);
juntar(4683, 301);
juntar(8326, 5496);
juntar(3665, 294);
juntar(7128, 1132);
juntar(7357, 1386);
juntar(5646, 5756);
juntar(8492, 978);
juntar(903, 5770);
juntar(2607, 1147);
juntar(1708, 6084);
juntar(7154, 1559);
juntar(4594, 9261);
juntar(685, 6027);
juntar(899, 5253);
juntar(1638, 6239);
juntar(1476, 8304);
juntar(203, 536);
juntar(868, 9707);
juntar(6075, 7873);
juntar(8540, 9897);
juntar(9529, 7042);
juntar(764, 1047);
juntar(3150, 9112);
juntar(3078, 1834);
juntar(6830, 6642);
juntar(9931, 9298);
juntar(9183, 6685);
juntar(5045, 8838);
juntar(4404, 5853);
juntar(3324, 2318);
juntar(4771, 4798);
juntar(2737, 5946);
juntar(5496, 6329);
juntar(2458, 4183);
juntar(426, 6110);
juntar(1828, 3237);
juntar(4227, 7351);
juntar(3161, 7913);
juntar(9101, 1286);
juntar(296, 8522);
juntar(1833, 3303);
juntar(3937, 388);
juntar(42, 586);
juntar(4282, 7065);
juntar(4847, 868);
juntar(1212, 9796);
juntar(862, 3468);
juntar(2425, 9981);
juntar(3422, 3168);
juntar(260, 8479);
juntar(7255, 4696);
juntar(8708, 5367);
juntar(420, 572);
juntar(3103, 6523);
juntar(2274, 7912);
juntar(6351, 8804);
juntar(4472, 406);
juntar(7165, 3937);
juntar(9570, 154);
juntar(7798, 2308);
juntar(2638, 277);
juntar(968, 1777);
juntar(7525, 3309);
juntar(8326, 3345);
juntar(852, 2263);
juntar(5669, 5077);
juntar(3674, 953);
juntar(3332, 8004);
juntar(2811, 7662);
juntar(3726, 2918);
juntar(1347, 1579);
juntar(1813, 4936);
juntar(467, 4556);
juntar(8464, 3507);
juntar(2933, 1677);
juntar(1106, 9149);
juntar(1797, 2905);
juntar(857, 4596);
juntar(6690, 4639);
juntar(401, 7280);
juntar(3996, 4388);
juntar(2295, 2121);
juntar(6501, 3981);
juntar(3085, 8424);
juntar(2786, 6738);
juntar(4636, 2382);
juntar(6505, 1839);
juntar(446, 7135);
juntar(971, 4779);
juntar(1321, 5637);
juntar(5013, 6232);
juntar(1782, 7699);
juntar(1936, 2905);
juntar(5856, 1454);
juntar(4614, 3059);
juntar(8445, 1277);
juntar(6219, 6215);
juntar(6437, 8669);
juntar(7899, 1312);
juntar(1869, 21);
juntar(1858, 44);
juntar(8018, 5311);
juntar(701, 2474);
juntar(8122, 4766);
juntar(1644, 105);
juntar(5592, 6337);
juntar(7286, 7590);
juntar(4006, 5398);
juntar(2958, 7976);
juntar(5006, 9534);
juntar(4386, 7978);
juntar(2259, 5495);
juntar(8368, 9155);
juntar(64, 2429);
juntar(3507, 8057);
juntar(5901, 5361);
juntar(7620, 3412);
juntar(7234, 5580);
juntar(3414, 1276);
juntar(4238, 23);
juntar(4223, 9658);
juntar(1729, 79);
juntar(7212, 2617);
juntar(5599, 1327);
juntar(2255, 72);
juntar(1269, 9622);
juntar(938, 3639);
juntar(4315, 5705);
juntar(1591, 694);
juntar(6293, 10);
juntar(3077, 8558);
juntar(1995, 1740);
juntar(2186, 8222);
juntar(7931, 1418);
juntar(6909, 2322);
juntar(5629, 4107);
juntar(598, 5245);
juntar(7508, 1293);
juntar(118, 4171);
juntar(7570, 3011);
juntar(4401, 8619);
juntar(3876, 8228);
juntar(8559, 2647);
juntar(4919, 712);
juntar(2662, 8230);
juntar(7365, 9663);
juntar(3607, 541);
juntar(8362, 9240);
juntar(3142, 5871);
juntar(1642, 8769);
juntar(4999, 748);
juntar(2989, 5911);
juntar(9384, 6443);
juntar(7259, 8362);
juntar(3585, 6504);
juntar(6153, 5730);
juntar(3355, 6221);
juntar(3187, 2202);
juntar(901, 1988);
juntar(9881, 2291);
juntar(1801, 5415);
juntar(5130, 6526);
juntar(4979, 1761);
juntar(7895, 1287);
juntar(6990, 4730);
juntar(1890, 7167);
juntar(4301, 25);
juntar(9785, 3202);
juntar(4987, 8185);
juntar(3591, 113);
juntar(4326, 3163);
juntar(7350, 4318);
juntar(7152, 6883);
juntar(8040, 5853);
juntar(3488, 1560);
juntar(676, 7620);
juntar(2999, 987);
juntar(4018, 366);
juntar(8089, 9156);
juntar(3965, 7705);
juntar(5101, 9609);
juntar(2791, 8105);
juntar(8001, 1733);
juntar(3671, 6298);
juntar(9185, 850);
juntar(1626, 4817);
juntar(7581, 7390);
juntar(3971, 7478);
juntar(5106, 6713);
juntar(5605, 572);
juntar(8728, 5197);
juntar(7117, 4207);
juntar(6837, 113);
juntar(6522, 5828);
juntar(5487, 497);
juntar(8706, 275);
juntar(2155, 3721);
juntar(159, 5899);
juntar(2107, 7841);
juntar(406, 4258);
juntar(5195, 2853);
juntar(5725, 1676);
juntar(8991, 5023);
juntar(5173, 4585);
juntar(7506, 7143);
juntar(3740, 6947);
juntar(3423, 4193);
juntar(2514, 7326);
juntar(5809, 8226);
juntar(1175, 5173);
juntar(4505, 8536);
juntar(3812, 791);
juntar(7096, 3145);
juntar(5108, 1064);
juntar(4215, 5476);
juntar(270, 3553);
juntar(4245, 5727);
juntar(8712, 4823);
juntar(8993, 9892);
juntar(8507, 4991);
juntar(7808, 639);
juntar(5842, 9385);
juntar(8777, 3330);
juntar(1345, 9946);
juntar(2147, 7359);
juntar(3030, 3526);
juntar(2901, 7662);
juntar(3822, 1616);
juntar(6572, 3786);
juntar(157, 6179);
juntar(4765, 4203);
juntar(6978, 9258);
juntar(4649, 1716);
juntar(3611, 9812);
juntar(9695, 1729);
juntar(4453, 9833);
juntar(7339, 8912);
juntar(8202, 3229);
juntar(2906, 9400);
juntar(9419, 5165);
juntar(8140, 4987);
juntar(6636, 6621);
juntar(6986, 3045);
juntar(1917, 8740);
juntar(887, 841);
juntar(7831, 4255);
juntar(803, 5799);
juntar(9102, 8727);
juntar(3379, 3862);
juntar(7868, 2616);
juntar(4269, 6557);
juntar(3463, 6343);
juntar(2493, 3635);
juntar(9857, 4377);
juntar(5850, 2232);
juntar(6544, 1139);
juntar(8959, 5364);
juntar(1519, 1042);
juntar(2260, 2289);
juntar(8208, 7334);
juntar(2447, 759);
juntar(1769, 9609);
juntar(2239, 6528);
juntar(3977, 7776);
juntar(133, 8590);
juntar(83, 1117);
juntar(8831, 9598);
juntar(5503, 4648);
juntar(4424, 9651);
juntar(4944, 1405);
juntar(7079, 8220);
juntar(1692, 8516);
juntar(7977, 3361);
juntar(158, 6968);
juntar(6551, 9584);
juntar(525, 9811);
juntar(6705, 5709);
juntar(321, 1229);
juntar(607, 1917);
juntar(4126, 9366);
juntar(3914, 798);
juntar(9236, 9102);
juntar(6826, 672);
juntar(2094, 7083);
juntar(1247, 692);
juntar(7557, 181);
juntar(5506, 6342);
juntar(664, 364);
juntar(4591, 802);
juntar(8468, 3419);
juntar(5645, 2354);
juntar(7714, 6379);
juntar(5612, 537);
juntar(2659, 8645);
juntar(326, 4031);
juntar(6172, 4783);
juntar(2097, 1448);
juntar(6416, 2760);
juntar(5917, 2096);
juntar(851, 9992);
juntar(2737, 7585);
juntar(9094, 988);
juntar(1997, 6694);
juntar(6258, 4609);
juntar(4547, 5303);
juntar(8772, 6000);
juntar(1423, 408);
juntar(5422, 8097);
juntar(3564, 2230);
juntar(7374, 295);
juntar(2458, 1248);
juntar(2256, 7322);
juntar(2003, 7646);
juntar(9053, 9672);
juntar(7363, 9084);
juntar(2525, 8042);
juntar(7520, 8971);
juntar(8116, 8140);
juntar(4377, 1507);
juntar(936, 8959);
juntar(2760, 1612);
juntar(5284, 7140);
juntar(2498, 7592);
juntar(4389, 2435);
juntar(5845, 1884);
juntar(3583, 4400);
juntar(971, 536);
juntar(3948, 8466);
juntar(4972, 5239);
juntar(7642, 305);
juntar(7908, 2649);
juntar(547, 1020);
juntar(2776, 4513);
juntar(2697, 2105);
juntar(4942, 8677);
juntar(1985, 8342);
juntar(8637, 5443);
juntar(2088, 8845);
juntar(7342, 5937);
juntar(1244, 1330);
juntar(9579, 9161);
juntar(4532, 2329);
juntar(1495, 2227);
juntar(8672, 6569);
juntar(2933, 3895);
juntar(4972, 2009);
juntar(4169, 5003);
juntar(3064, 3148);
juntar(6434, 612);
juntar(5281, 4120);
juntar(472, 7791);
juntar(9188, 4835);
juntar(3900, 9819);
juntar(3614, 7934);
juntar(9932, 2310);
juntar(1789, 1739);
juntar(7173, 9254);
juntar(3700, 4468);
juntar(2583, 7292);
juntar(8612, 8038);
juntar(7480, 4697);
juntar(7859, 5511);
juntar(9511, 7458);
juntar(7482, 4885);
juntar(1869, 8620);
juntar(32, 3313);
juntar(4736, 8649);
juntar(4989, 93);
juntar(2906, 3903);
juntar(7617, 3788);
juntar(7874, 7566);
juntar(6796, 8700);
juntar(2271, 2349);
juntar(3401, 8591);
juntar(9472, 7117);
juntar(2135, 1013);
juntar(1441, 228);
juntar(1369, 3908);
juntar(3441, 823);
juntar(7509, 7237);
juntar(5101, 5551);
juntar(2689, 6320);
juntar(3501, 2292);
juntar(7156, 287);
juntar(5471, 4342);
juntar(656, 8592);
juntar(3045, 8197);
juntar(293, 886);
juntar(8193, 5592);
juntar(5887, 727);
juntar(340, 5779);
juntar(7704, 1550);
juntar(2950, 7156);
juntar(5548, 4158);
juntar(3490, 8310);
juntar(2694, 8560);
juntar(4489, 7294);
juntar(2920, 9407);
juntar(2049, 4526);
juntar(3951, 3530);
juntar(2193, 9102);
juntar(6075, 79);
juntar(4724, 482);
juntar(359, 8664);
juntar(8887, 7546);
juntar(6955, 8532);
juntar(5071, 4821);
juntar(297, 2302);
juntar(2024, 1329);
juntar(4653, 1081);
juntar(9596, 930);
juntar(468, 3868);
juntar(2933, 4328);
juntar(9176, 3087);
juntar(5178, 1951);
juntar(1795, 9812);
juntar(2273, 3808);
juntar(4475, 6778);
juntar(5230, 7139);
juntar(2413, 4649);
juntar(2376, 5156);
juntar(2047, 7156);
juntar(6509, 528);
juntar(317, 3703);
juntar(9628, 5357);
juntar(8880, 3848);
juntar(990, 5393);
juntar(686, 6641);
juntar(2566, 9933);
juntar(6042, 9239);
juntar(9718, 479);
juntar(5431, 3427);
juntar(3836, 578);
juntar(6701, 5750);
juntar(8052, 6473);
juntar(5006, 6762);
juntar(6705, 3216);
juntar(4857, 7612);
juntar(4219, 3699);
juntar(5015, 7644);
juntar(9255, 8703);
juntar(8589, 4976);
juntar(5579, 4513);
juntar(2666, 3132);
juntar(1955, 903);
juntar(4094, 727);
juntar(9537, 6367);
juntar(594, 7912);
juntar(6758, 9364);
juntar(9312, 2842);
juntar(8490, 4029);
juntar(8110, 3786);
juntar(8388, 6325);
juntar(8429, 7647);
juntar(751, 1928);
juntar(2402, 3663);
juntar(991, 268);
juntar(1035, 1824);
juntar(1837, 104);
juntar(4733, 9169);
juntar(5797, 760);
juntar(2248, 3523);
juntar(3053, 9738);
juntar(9175, 3473);
juntar(7980, 1791);
juntar(2567, 5424);
juntar(6783, 6741);
juntar(3912, 3424);
juntar(3354, 3355);
juntar(8765, 5109);
juntar(395, 4375);
juntar(7665, 7617);
juntar(8092, 3483);
juntar(9597, 585);
juntar(3181, 8382);
juntar(6258, 9467);
juntar(7117, 5466);
juntar(2617, 1319);
juntar(3244, 608);
juntar(6886, 6916);
juntar(9341, 7490);
juntar(898, 7635);
juntar(3750, 9583);
juntar(103, 2854);
juntar(397, 4411);
juntar(930, 3818);
juntar(442, 9042);
juntar(2084, 2871);
juntar(6055, 3891);
juntar(5507, 2781);
juntar(4861, 7865);
juntar(2201, 9433);
juntar(1964, 1636);
juntar(7867, 2654);
juntar(156, 7411);
juntar(3431, 4086);
juntar(7890, 2942);
juntar(5891, 8129);
juntar(8919, 4718);
juntar(5669, 1788);
juntar(7120, 296);
juntar(7650, 1933);
juntar(4945, 2551);
juntar(4450, 3978);
juntar(4191, 9242);
juntar(2076, 4258);
juntar(3345, 9775);
juntar(146, 9471);
juntar(6608, 7251);
juntar(1062, 526);
juntar(5913, 8024);
juntar(5164, 4787);
juntar(8715, 2811);
juntar(1766, 317);
juntar(1167, 3149);
juntar(9183, 8024);
juntar(8386, 4473);
juntar(419, 2823);
juntar(978, 2416);
juntar(4975, 2859);
juntar(9696, 2076);
juntar(1425, 6678);
juntar(8202, 935);
juntar(9852, 1790);
juntar(7241, 4871);
juntar(8026, 4517);
juntar(2228, 3293);
juntar(263, 226);
juntar(264, 3784);
juntar(3350, 5112);
juntar(1852, 8872);
juntar(9596, 5509);
juntar(7262, 7528);
juntar(3103, 8436);
juntar(7395, 1822);
juntar(1716, 7483);
juntar(4222, 4812);
juntar(3710, 1515);
juntar(6487, 9173);
juntar(5286, 9711);
juntar(2167, 7349);
juntar(2193, 5408);
juntar(413, 3058);
juntar(6390, 2936);
juntar(2164, 908);
juntar(6564, 6172);
juntar(447, 5521);
juntar(9526, 4890);
juntar(8469, 4131);
juntar(8041, 5167);
juntar(6091, 6896);
juntar(9485, 3055);
juntar(2954, 7335);
juntar(8857, 6550);
juntar(9626, 1221);
juntar(9166, 9473);
juntar(6508, 6039);
juntar(1958, 2300);
juntar(3885, 4680);
juntar(860, 9210);
juntar(5548, 6431);
juntar(1393, 7646);
juntar(2677, 5525);
juntar(1052, 6574);
juntar(4325, 2502);
juntar(4652, 2229);
juntar(5763, 6486);
juntar(1266, 5692);
juntar(6177, 7087);
juntar(782, 4862);
juntar(2801, 3115);
juntar(3, 4539);
juntar(9394, 1518);
juntar(538, 2235);
juntar(3182, 4062);
juntar(3308, 4033);
juntar(5872, 1135);
juntar(7369, 4419);
juntar(1153, 1752);
juntar(4004, 6283);
juntar(3199, 6374);
juntar(533, 2519);
juntar(8164, 4435);
juntar(2134, 8606);
juntar(3351, 1652);
juntar(4128, 6323);
juntar(6835, 3094);
juntar(1642, 2406);
juntar(3666, 6788);
juntar(8316, 2309);
juntar(3467, 9181);
juntar(851, 8516);
juntar(8244, 8177);
juntar(1549, 4852);
juntar(8505, 1665);
juntar(6752, 3111);
juntar(450, 9451);
juntar(5070, 5991);
juntar(6870, 4357);
juntar(5667, 786);
juntar(9683, 3844);
juntar(3487, 1596);
juntar(2576, 7003);
juntar(5303, 3905);
juntar(8068, 2997);
juntar(7702, 4298);
juntar(4543, 6106);
juntar(5758, 9823);
juntar(5238, 9426);
juntar(8995, 6029);
juntar(3020, 3966);
juntar(9500, 83);
juntar(1883, 2377);
juntar(5536, 5522);
juntar(8535, 6912);
juntar(2866, 8181);
juntar(5200, 9297);
juntar(5132, 8623);
juntar(7781, 6195);
juntar(4121, 5014);
juntar(1947, 7651);
juntar(484, 1774);
juntar(3356, 7530);
juntar(5615, 3606);
juntar(7225, 4303);
juntar(5748, 1501);
juntar(6775, 7754);
juntar(74, 7206);
juntar(9688, 2195);
juntar(5695, 5282);
juntar(6655, 9579);
juntar(3567, 7378);
juntar(6320, 6551);
juntar(1244, 1626);
juntar(6504, 7924);
juntar(187, 1164);
juntar(2452, 5321);
juntar(7679, 9724);
juntar(9012, 3792);
juntar(5989, 8935);
juntar(5188, 1113);
juntar(4311, 1531);
juntar(6269, 4169);
juntar(2217, 7033);
juntar(894, 4311);
juntar(6907, 1606);
juntar(7821, 8937);
juntar(361, 1789);
juntar(9922, 9639);
juntar(6642, 2592);
juntar(978, 8255);
juntar(4091, 4040);
juntar(4227, 864);
juntar(1890, 6670);
juntar(282, 6401);
juntar(5597, 5731);
juntar(6048, 890);
juntar(1626, 5835);
juntar(5564, 546);
juntar(6375, 2712);
juntar(8312, 6959);
juntar(1732, 6357);
juntar(487, 5435);
juntar(5007, 327);
juntar(9924, 3180);
juntar(8010, 5279);
juntar(5999, 7456);
juntar(6962, 895);
juntar(1612, 5129);
juntar(2161, 9288);
juntar(5614, 4066);
juntar(3970, 4697);
juntar(487, 3732);
juntar(9550, 8829);
juntar(1914, 7064);
